batch_size,epoch,input_to_padding_ratio,learning_rate,lr-AdamW,num_frames,num_tokens,output_to_padding_ratio,step,train_loss,training_batch_bleu,training_batch_wer,val_bleu,val_loss,val_wer
,,,,4.347826086956522e-05,,,,4,,,,,,
,,,,4.347826086956522e-05,,,,4,,,,,,
,,,,4.347826086956522e-05,,,,4,,,,,,
4.0,0,0.8417159914970398,4.347825961303897e-05,,546240.0,186.0,0.7153846025466919,4,1.0422362089157104,0.6521704792976379,0.22641509771347046,,,
,,,,8.695652173913044e-05,,,,9,,,,,,
,,,,8.695652173913044e-05,,,,9,,,,,,
,,,,8.695652173913044e-05,,,,9,,,,,,
4.0,0,0.8441358208656311,8.695651922607794e-05,,525120.0,206.0,0.9196428656578064,9,0.988555371761322,0.5108988285064697,0.31578946113586426,,,
,,,,0.00013043478260869567,,,,14,,,,,,
,,,,0.00013043478260869567,,,,14,,,,,,
,,,,0.00013043478260869567,,,,14,,,,,,
1.0,0,1.0,0.00013043478247709572,,404160.0,80.0,1.0,14,0.7281141877174377,0.634833037853241,0.1818181872367859,,,
,,,,0.00017391304347826088,,,,19,,,,,,
,,,,0.00017391304347826088,,,,19,,,,,,
,,,,0.00017391304347826088,,,,19,,,,,,
2.0,0,0.9520000219345093,0.0001739130384521559,,456960.0,145.0,0.9931507110595703,19,0.4059463143348694,0.6214650273323059,0.20454545319080353,,,
,,,,0.00019995372092052347,,,,24,,,,,,
,,,,0.00019995372092052347,,,,24,,,,,,
,,,,0.00019995372092052347,,,,24,,,,,,
3.0,0,0.9244186282157898,0.00019995371985714883,,457920.0,165.0,0.9482758641242981,24,0.4191713333129883,0.5802126526832581,0.23529411852359772,,,
,,,,0.00019943357555591082,,,,29,,,,,,
,,,,0.00019943357555591082,,,,29,,,,,,
,,,,0.00019943357555591082,,,,29,,,,,,
2.0,0,0.8865545988082886,0.00019943357619922608,,405120.0,103.0,0.8046875,29,0.5305806398391724,0.564560055732727,0.25806450843811035,,,
,,,,0.0001983384689387431,,,,34,,,,,,
,,,,0.0001983384689387431,,,,34,,,,,,
,,,,0.0001983384689387431,,,,34,,,,,,
2.0,0,0.9671533107757568,0.00019833847181871533,,508800.0,133.0,0.8209876418113708,34,0.8151973485946655,0.2962186932563782,0.5128205418586731,,,
,,,,0.00019667476537829314,,,,39,,,,,,
,,,,0.00019667476537829314,,,,39,,,,,,
,,,,0.00019667476537829314,,,,39,,,,,,
3.0,0,0.8194444179534912,0.00019667476590257138,,396480.0,152.0,0.9047619104385376,39,0.10374794900417328,0.7388655543327332,0.095238097012043,,,
,,,,0.00019445213363542002,,,,44,,,,,,
,,,,0.00019445213363542002,,,,44,,,,,,
,,,,0.00019445213363542002,,,,44,,,,,,
1.0,0,1.0,0.00019445213547442108,,401280.0,83.0,1.0,44,0.37667587399482727,0.5481799244880676,0.380952388048172,,,
,,,,0.00019168349073170793,,,,49,,,,,,
,,,,0.00019168349073170793,,,,49,,,,,,
